"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"417",2015 Q4,"New Commitment","DRUG POSSESSION ONLY",218.73
"418",2015 Q4,"New Commitment","MURDER",707.59
"419",2015 Q4,"New Commitment","OTHER",91.66
"420",2015 Q4,"New Commitment","PERSON",1086.79
"421",2015 Q4,"New Commitment","PROPERTY",1096.02
"422",2015 Q4,"New Commitment","SEX OFFENSE",1984.84
"423",2015 Q4,"New Commitment","WEAPONS",64.86
"424",2015 Q4,"Technical Commitment","ALCOHOL & DRUG",63.97
"425",2015 Q4,"Technical Commitment","DRIVING",30.91
"426",2015 Q4,"Technical Commitment","DRUG POSSESSION ONLY",37.58
"427",2015 Q4,"Technical Commitment","MURDER",48.46
"428",2015 Q4,"Technical Commitment","OTHER",12.81
"429",2015 Q4,"Technical Commitment","PERSON",145.09
"430",2015 Q4,"Technical Commitment","PROPERTY",153.49
"431",2015 Q4,"Technical Commitment","SEX OFFENSE",197.96
"432",2015 Q4,"Technical Commitment","WEAPONS",11.22
"433",2016 Q1,"New Commitment","ALCOHOL & DRUG",432.14
"434",2016 Q1,"New Commitment","DRIVING",151.76
"435",2016 Q1,"New Commitment","DRUG POSSESSION ONLY",180.96
"436",2016 Q1,"New Commitment","MURDER",710.83
"437",2016 Q1,"New Commitment","OTHER",86.33
"438",2016 Q1,"New Commitment","PERSON",1078.23
"439",2016 Q1,"New Commitment","PROPERTY",1026.13
"440",2016 Q1,"New Commitment","SEX OFFENSE",1989.17
"441",2016 Q1,"New Commitment","WEAPONS",66.68
"442",2016 Q1,"Technical Commitment","ALCOHOL & DRUG",75.31
"443",2016 Q1,"Technical Commitment","DRIVING",29.3
"444",2016 Q1,"Technical Commitment","DRUG POSSESSION ONLY",35.84
"445",2016 Q1,"Technical Commitment","MURDER",50.77
"446",2016 Q1,"Technical Commitment","OTHER",9.89
"447",2016 Q1,"Technical Commitment","PERSON",145.01
"448",2016 Q1,"Technical Commitment","PROPERTY",158.22
"449",2016 Q1,"Technical Commitment","SEX OFFENSE",188.46
"450",2016 Q1,"Technical Commitment","WEAPONS",10.82
"451",2016 Q2,"New Commitment","ALCOHOL & DRUG",427.69
"452",2016 Q2,"New Commitment","DRIVING",142.79
"453",2016 Q2,"New Commitment","DRUG POSSESSION ONLY",157.87
"454",2016 Q2,"New Commitment","MURDER",706
"455",2016 Q2,"New Commitment","OTHER",76.4
